"Freq [GHz]","dB(S(1,1)) []"
3.32,-24.3234013744565
3.33,-25.1236031802305
3.34,-25.7110940595528
3.35,-25.9975449260425
3.36,-25.944705527333
3.37,-25.5882268290498
3.38,-25.0153180592257
3.39,-24.3208206005645
3.4,-23.5787887367339
3.41,-22.8367526291721
3.42,-22.1212849676589
3.43,-21.4453592300562
3.44,-20.8140005091017
3.45,-20.2278976488223
3.46,-19.6855243351093
3.47,-19.1843288457837
3.48,-18.7213805283167
3.49,-18.2937095901938
3.5,-17.8984768278959
3.51,-17.5330503437164
3.52,-17.1950322601261
3.53,-16.8822593206877
3.54,-16.5927905828533
3.55,-16.3248894396879
3.56,-16.0770038696779
3.57,-15.8477469472516
3.58,-15.6358786067514
3.59,-15.4402890790682
3.6,-15.2599841103429
3.61,-15.0940719113652
3.62,-14.9417517092547
3.63,-14.8023037423887
3.64,-14.6750805339969
3.65,-14.559499287204
3.66,-14.4550352576848
3.67,-14.3612159756656
3.68,-14.2776162047153
3.69,-14.2038535395602
3.7,-14.1395845585685
3.71,-14.0845014584298
3.72,-14.0383291089265
3.73,-14.0008224746649
3.74,-13.9717643583472
3.75,-13.9509634267721
3.76,-13.9382524864051
3.77,-13.9334869801832
3.78,-13.9365436813439
3.79,-13.947319563588
3.8,-13.9657308298953
3.81,-13.9917120848797
3.82,-14.0252156377607
3.83,-14.0662109248853
3.84,-14.1146840423046
3.85,-14.1706373802057
3.86,-14.2340893520575
3.87,-14.3050742121369
3.88,-14.3836419556686
3.89,-14.4698582961127
3.9,-14.5638047141369
3.91,-14.6655785724653
3.92,-14.7752932900259
3.93,-14.8930785675172
3.94,-15.0190806545364
3.95,-15.1534626455623
3.96,-15.296404788087
3.97,-15.4481047806979
3.98,-15.6087780314211
3.99,-15.7786578365184
4,-15.9579954262815
4.01,-16.1470598060391
4.02,-16.346137295969
4.03,-16.5555306402773
4.04,-16.7755575119941
4.05,-17.0065481801965
4.06,-17.2488420267793
4.07,-17.5027824931572
4.08,-17.7687098945692
4.09,-18.046951349485
4.1,-18.3378068195191
4.11,-18.6415299238831
4.12,-18.958301762388
4.13,-19.2881954340371
4.14,-19.6311282641091
4.15,-19.9867979640742
4.16,-20.3545981100388
4.17,-20.7335076046206
4.18,-21.1219485435763
4.19,-21.5176078283892
4.2,-21.917221141023
4.21,-22.3163253869488
4.22,-22.7089998985243
4.23,-23.0876399741656
4.24,-23.4428389202648
4.25,-23.7634904502487
4.26,-24.0372438412703
4.27,-24.2514173865151
4.28,-24.3943672748955
4.29,-24.4571175993002
4.3,-24.4348542753682
4.31,-24.3278082364388
4.32,-24.1412071730656
4.33,-23.8843140323513
4.34,-23.5688984400993
4.35,-23.2076174757984
4.36,-22.8126862870796
4.37,-22.3950117886269
4.38,-21.9637776075176
4.39,-21.5263689549815
4.4,-21.0885055496046
4.41,-20.6544739699598
4.42,-20.2273867698113
4.43,-19.8094274978645
4.44,-19.4020630874814
4.45,-19.0062184950251
4.46,-18.6224154411923
4.47,-18.2508800837573
4.48,-17.8916252132175
4.49,-17.5445122488058
4.5,-17.2092975680952
4.51,-16.8856668644558
4.52,-16.5732604475363
4.53,-16.2716917401874
4.54,-15.9805606903461
4.55,-15.699463396859
4.56,-15.4279989253909
4.57,-15.1657740452083
4.58,-14.9124064326238
4.59,-14.6675267480954
4.6,-14.4307798901611
4.61,-14.2018256518654
4.62,-13.9803389474829
4.63,-13.7660097341751
4.64,-13.5585427209969
4.65,-13.3576569336092
4.66,-13.1630851850805
4.67,-12.9745734897283
4.68,-12.7918804469163
4.69,-12.6147766142241
4.7,-12.4430438838115
4.71,-12.2764748716328
4.72,-12.1148723260562
4.73,-11.9580485601534
4.74,-11.8058249102342
4.75,-11.6580312219678
4.76,-11.5145053645413
4.77,-11.3750927726661
4.78,-11.2396460158015
4.79,-11.1080243936611
4.8,-10.9800935568728
4.81,-10.855725151546
4.82,-10.7347964864403
4.83,-10.6171902214128
4.84,-10.5027940758333
4.85,-10.3915005556892
4.86,-10.2832066981486
4.87,-10.1778138324094
4.88,-10.0752273557175
4.89,-9.97535652350915
4.9,-9.87811425268982
4.91,-9.78341693713175
4.92,-9.6911842745306
4.93,-9.60133910382351
4.94,-9.51380725242702
4.95,-9.42851739260721
4.96,-9.34540090634492
4.97,-9.26439175810618
4.98,-9.18542637497247
4.99,-9.10844353362585
5,-9.03338425372239
