"Freq [GHz]","dB(S(1,1)) []"
3.98,-11.7639125277015
3.99,-11.7910274001932
4,-11.8208489809959
4.01,-11.8533341392138
4.02,-11.888432963069
4.03,-11.9260883966312
4.04,-11.9662358210567
4.05,-12.0088025822471
4.06,-12.0537074672706
4.07,-12.1008601325045
4.08,-12.1501604872509
4.09,-12.2014980376041
4.1,-12.2547511966021
4.11,-12.3097865682284
4.12,-12.3664582146418
4.13,-12.4246069181303
4.14,-12.4840594517127
4.15,-12.5446278750427
4.16,-12.6061088752847
4.17,-12.6682831758782
4.18,-12.7309150395257
4.19,-12.7937518952011
4.2,-12.8565241223486
4.21,-12.9189450285167
4.22,-12.9807110592036
4.23,-13.0415022803759
4.24,-13.1009831746262
4.25,-13.1588037908565
4.26,-13.2146012843393
4.27,-13.268001878606
4.28,-13.3186232725327
4.29,-13.3660775049768
4.3,-13.409974275304
4.31,-13.4499247012469
4.32,-13.4855454761496
4.33,-13.5164633664786
4.34,-13.5423199685106
4.35,-13.5627766216614
4.36,-13.5775193565267
4.37,-13.5862637400298
4.38,-13.5887594697546
4.39,-13.5847945660282
4.4,-13.5741990146623
4.41,-13.5568477259599
4.42,-13.532662696479
4.43,-13.5016142881949
4.44,-13.4637215735278
4.45,-13.4190517320289
4.46,-13.3677185228253
4.47,-13.3098798935753
4.48,-13.2457348192371
4.49,-13.1755194903557
4.5,-13.0995029894008
4.51,-13.0179826042225
4.52,-12.9312789299353
4.53,-12.8397309051564
4.54,-12.7436909166773
4.55,-12.6435200898593
4.56,-12.5395838619689
4.57,-12.4322479139574
4.58,-12.3218745143221
4.59,-12.2088193078992
4.6,-12.0934285636544
4.61,-11.9760368793735
4.62,-11.8569653279253
4.63,-11.7365200195488
4.64,-11.6149910472713
4.65,-11.4926517778362
4.66,-11.3697584480472
4.67,-11.2465500258364
4.68,-11.1232482962374
4.69,-11.0000581344145
4.7,-10.8771679306382
4.71,-10.7547501353144
4.72,-10.6329618956318
4.73,-10.5119457589155
4.74,-10.391830421211
4.75,-10.272731502885
4.76,-10.154752336046
4.77,-10.0379847513234
4.78,-9.92250985397654
4.79,-9.80839878144752
4.8,-9.69571343631133
4.81,-9.58450719015801
4.82,-9.47482555526416
4.83,-9.36670682201495
4.84,-9.26018266094018
4.85,-9.15527868895875
4.86,-9.05201500000555
4.87,-8.95040666066778
4.88,-8.85046417180234
4.89,-8.7521938973609
4.9,-8.65559846183015
4.91,-8.56067711781414
4.92,-8.46742608535684
4.93,-8.37583886463454
4.94,-8.2859065236486
4.95,-8.19761796252634
4.96,-8.11096015599688
4.97,-8.02591837555469
4.98,-7.94247639276043
4.99,-7.86061666505892
5,-7.78032050542062
