"Freq [GHz]","dB(ActiveS(4:1)) []"
3.65,-8.11757220982387
3.66,-8.15511311486353
3.67,-8.19573228233636
3.68,-8.23940248202573
3.69,-8.28609724437029
3.7,-8.33579083049331
3.71,-8.38845803131739
3.72,-8.44407379925961
3.73,-8.50261272371812
3.74,-8.56404836942787
3.75,-8.6283525036585
3.76,-8.69549424082668
3.77,-8.7654391233662
3.78,-8.83814811834934
3.79,-8.91357640610461
3.8,-8.99167160707257
3.81,-9.0723706320297
3.82,-9.15559350233881
3.83,-9.24123113927385
3.84,-9.32912236562457
3.85,-9.41901408191442
3.86,-9.51050035669078
3.87,-9.6029457075669
3.88,-9.69541887679118
3.89,-9.78668844105348
3.9,-9.87533156388607
3.91,-9.9599500725325
3.92,-10.0393978059173
3.93,-10.1128938243114
3.94,-10.1799782092448
3.95,-10.2403781675277
3.96,-10.2938841989609
3.97,-10.3402897483408
3.98,-10.3793921110239
3.99,-10.4110275170759
4,-10.4351144742832
4.01,-10.4516894403789
4.02,-10.4609277980292
4.03,-10.4631486548653
4.04,-10.458804976861
4.05,-10.448462081469
4.06,-10.432768215883
4.07,-10.4124211027237
4.08,-10.388134067122
4.09,-10.3606047588879
4.1,-10.3304886689387
4.11,-10.2983787463186
4.12,-10.2647915787949
4.13,-10.2301599019265
4.14,-10.1948307005332
4.15,-10.1590678718971
4.16,-10.1230583086333
4.17,-10.0869202891418
4.18,-10.0507131871801
4.19,-10.0144476851771
4.2,-9.97809586301948
4.21,-9.94160071032059
4.22,-9.90488476077493
4.23,-9.86785766545488
4.24,-9.83042260753611
4.25,-9.79248151858293
4.26,-9.75393909541278
4.27,-9.71470565114952
4.28,-9.67469888503828
4.29,-9.63384474832094
4.3,-9.59207773722869
4.31,-9.54934114083817
4.32,-9.50558790107852
4.33,-9.460782570565
4.34,-9.41490415062712
4.35,-9.36794852175883
4.36,-9.31992861414122
4.37,-9.27087137757401
4.38,-9.22081264178317
4.39,-9.16979227700251
4.4,-9.11785145626697
4.41,-9.06503214199256
4.42,-9.0113777735881
4.43,-8.95693406787528
4.44,-8.90174935959709
4.45,-8.84587440529218
4.46,-8.78936182101399
4.47,-8.73226536595928
4.48,-8.67463922969711
4.49,-8.61653740782384
4.5,-8.55801319362681
4.51,-8.49911877920945
4.52,-8.43990494479198
4.53,-8.38042081303622
4.54,-8.32071365031653
4.55,-8.26082870447957
4.56,-8.20080907594303
4.57,-8.1406956243879
4.58,-8.08052691616932
4.59,-8.02033921795326
4.6,-7.96016654046182
4.61,-7.90004073327363
4.62,-7.8399916281228
4.63,-7.78004722473238
4.64,-7.72023391040977
4.65,-7.66057670272964
4.66,-7.60109950375242
4.67,-7.54182535432691
4.68,-7.48277667794011
4.69,-7.42397550507235
4.7,-7.36544367083485
4.71,-7.30720298056709
4.72,-7.24927533985343
4.73,-7.19168284694238
4.74,-7.13444784674308
4.75,-7.07759294642537
4.76,-7.02114099321211
4.77,-6.96511501532281
4.78,-6.90953812733469
4.79,-6.85443340161559
4.8,-6.79982370809182
4.81,-6.74573152556175
4.82,-6.69217872913091
4.83,-6.63918636014433
4.84,-6.58677438717566
4.85,-6.53496146905947
4.86,-6.48376473339903
4.87,-6.43319958613626
4.88,-6.38327956925878
4.89,-6.33401628413949
4.9,-6.28541939696857
4.91,-6.23749673994672
4.92,-6.19025451721228
4.93,-6.14369761794413
