"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.44,90,42,3.19949888133574
3.44,90,43,3.02957538403035
3.44,90,44,2.85582434896626
3.44,90,45,2.67823722186989
3.44,90,46,2.49680352322831
3.44,90,47,2.31151064079851
3.44,90,48,2.12234360844511
3.44,90,49,1.92928487045318
3.44,90,50,1.73231403038888
3.44,90,51,1.53140758349549
3.44,90,52,1.32653863151397
3.44,90,53,1.11767657870456
3.44,90,54,0.904786807715025
3.44,90,55,0.687830333791418
3.44,90,56,0.466763435653931
3.44,90,57,0.241537261161585
3.44,90,58,0.0120974056600411
3.44,90,59,-0.221616539356484
3.44,90,60,-0.459671469941465
3.44,90,61,-0.702141288770659
3.44,90,62,-0.949107463015145
3.44,90,63,-1.20065962489185
3.44,90,64,-1.45689621929691
3.44,90,65,-1.717925203531
3.44,90,66,-1.98386480481746
3.44,90,67,-2.25484434210644
3.44,90,68,-2.53100511956514
3.44,90,69,-2.81250140019095
3.44,90,70,-3.09950146916861
3.44,90,71,-3.39218879794286
3.44,90,72,-3.69076332151427
3.44,90,73,-3.99544284320936
3.44,90,74,-4.30646458314546
3.44,90,75,-4.62408688882434
3.44,90,76,-4.94859112875733
3.44,90,77,-5.28028379274715
3.44,90,78,-5.61949882541004
3.44,90,79,-5.96660022265959
3.44,90,80,-6.32198492408653
3.44,90,81,-6.68608603726101
3.44,90,82,-7.05937643262673
3.44,90,83,-7.44237274930721
3.44,90,84,-7.83563985192522
3.44,90,85,-8.23979577504691
3.44,90,86,-8.65551718288454
3.44,90,87,-9.08354535391959
3.44,90,88,-9.52469266761369
3.44,90,89,-9.97984951462208
3.44,90,90,-10.449991459082
3.44,90,91,-10.9361863296295
3.44,90,92,-11.4396006697173
3.44,90,93,-11.9615045812959
3.44,90,94,-12.5032733584024
3.44,90,95,-13.0663832823112
3.44,90,96,-13.652397300878
3.44,90,97,-14.262933659312
3.44,90,98,-14.8996062758652
3.44,90,99,-15.5639188028968
3.44,90,100,-16.2570834323924
3.44,90,101,-16.9797185912219
3.44,90,102,-17.7313544969809
3.44,90,103,-18.5096413436958
3.44,90,104,-19.3091178477793
3.44,90,105,-20.1193857203
3.44,90,106,-20.9226287475457
3.44,90,107,-21.6907901113926
3.44,90,108,-22.383630582051
3.44,90,109,-22.9503145031059
3.44,90,110,-23.3378639788613
3.44,90,111,-23.5068589993322
3.44,90,112,-23.4473017783285
3.44,90,113,-23.1831706218907
3.44,90,114,-22.7618319084812
3.44,90,115,-22.2368788807574
3.44,90,116,-21.6551548908587
3.44,90,117,-21.0515727366658
3.44,90,118,-20.4494491218052
3.44,90,119,-19.8630575960156
3.44,90,120,-19.3003871247438
3.44,90,121,-18.765350480236
3.44,90,122,-18.2593394227097
3.44,90,123,-17.782249317685
3.44,90,124,-17.3331289149787
3.44,90,125,-16.9105824091257
3.44,90,126,-16.513013428002
3.44,90,127,-16.1387700948771
3.44,90,128,-15.7862289060858
3.44,90,129,-15.4538411034337
3.44,90,130,-15.1401562714125
3.44,90,131,-14.8438322820637
3.44,90,132,-14.5636372204712
3.44,90,133,-14.2984467562024
3.44,90,134,-14.0472390792698
3.44,90,135,-13.8090886816904
3.44,90,136,-13.5831597447105
3.44,90,137,-13.3686995680678
3.44,90,138,-13.1650322774257
3.44,90,139,-12.9715529233727
3.44,90,140,-12.7877220114099
