"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.8,0,-54,2.20277939627707
3.8,0,-53,2.36063830256626
3.8,0,-52,2.51692007355782
3.8,0,-51,2.67154189318405
3.8,0,-50,2.82442327645461
3.8,0,-49,2.9754860152776
3.8,0,-48,3.12465412386037
3.8,0,-47,3.27185378430118
3.8,0,-46,3.41701329288385
3.8,0,-45,3.56006300749844
3.8,0,-44,3.70093529653181
3.8,0,-43,3.83956448950045
3.8,0,-42,3.97588682963629
3.8,0,-41,4.10984042858142
3.8,0,-40,4.24136522330075
3.8,0,-39,4.37040293528099
3.8,0,-38,4.49689703205032
3.8,0,-37,4.62079269102396
3.8,0,-36,4.74203676565731
3.8,0,-35,4.86057775386862
3.8,0,-34,4.9763657686776
3.8,0,-33,5.08935251099409
3.8,0,-32,5.19949124448174
3.8,0,-31,5.30673677241472
3.8,0,-30,5.4110454164408
3.8,0,-29,5.51237499716141
3.8,0,-28,5.61068481643778
3.8,0,-27,5.70593564133202
3.8,0,-26,5.79808968959302
3.8,0,-25,5.88711061659815
3.8,0,-24,5.97296350366414
3.8,0,-23,6.05561484764264
3.8,0,-22,6.13503255171904
3.8,0,-21,6.21118591733546
3.8,0,-20,6.28404563716204
3.8,0,-19,6.35358378904328
3.8,0,-18,6.41977383084907
3.8,0,-17,6.48259059616246
3.8,0,-16,6.54201029073874
3.8,0,-15,6.59801048967278
3.8,0,-14,6.65057013521329
3.8,0,-13,6.69966953516514
3.8,0,-12,6.74529036182193
3.8,0,-11,6.78741565137322
3.8,0,-10,6.82602980373179
3.8,0,-9,6.8611185827282
3.8,0,-8,6.89266911662065
3.8,0,-7,6.92066989887004
3.8,0,-6,6.94511078913102
3.8,0,-5,6.96598301441133
3.8,0,-4,6.98327917035331
3.8,0,-3,6.99699322259277
3.8,0,-2,7.0071205081523
3.8,0,-1,7.01365773682798
3.8,0,0,7.01660299253059
3.8,0,1,7.01595573454453
3.8,0,2,7.01171679867074
3.8,0,3,7.00388839822216
3.8,0,4,6.99247412484411
3.8,0,5,6.97747894913489
3.8,0,6,6.95890922104608
3.8,0,7,6.93677267004595
3.8,0,8,6.91107840503382
3.8,0,9,6.8818369139983
3.8,0,10,6.84906006341679
3.8,0,11,6.81276109739992
3.8,0,12,6.77295463658946
3.8,0,13,6.72965667682494
3.8,0,14,6.68288458760013
3.8,0,15,6.63265711033728
3.8,0,16,6.57899435651394
3.8,0,17,6.52191780568399
3.8,0,18,6.46145030344205
3.8,0,19,6.39761605938789
3.8,0,20,6.33044064515474
3.8,0,21,6.25995099257368
3.8,0,22,6.18617539205353
3.8,0,23,6.10914349126384
3.8,0,24,6.02888629421627
3.8,0,25,5.94543616084731
3.8,0,26,5.85882680721302
3.8,0,27,5.76909330641353
3.8,0,28,5.67627209037254
3.8,0,29,5.58040095260312
3.8,0,30,5.48151905209765
3.8,0,31,5.37966691848514
3.8,0,32,5.27488645860361
3.8,0,33,5.16722096463924
3.8,0,34,5.05671512398651
3.8,0,35,4.94341503098467
3.8,0,36,4.82736820068601
3.8,0,37,4.70862358480893
3.8,0,38,4.58723159002492
3.8,0,39,4.46324409872191
3.8,0,40,4.33671449237751
3.8,0,41,4.20769767766276
3.8,0,42,4.07625011538194
3.8,0,43,3.94242985233372
3.8,0,44,3.80629655615517
3.8,0,45,3.66791155318112
3.8,0,46,3.52733786931714
3.8,0,47,3.38464027388421
3.8,0,48,3.23988532634648
3.8,0,49,3.09314142577998
3.8,0,50,2.94447886287894
3.8,0,51,2.79396987422707
3.8,0,52,2.64168869848346
3.8,0,53,2.48771163404583
3.8,0,54,2.33211709765791
3.8,0,55,2.17498568332169
3.8,0,56,2.01640022076043
3.8,0,57,1.85644583255315
3.8,0,58,1.69520998892754
3.8,0,59,1.53278255905603
3.8,0,60,1.36925585754978
3.8,0,61,1.20472468469022
3.8,0,62,1.03928635877785
3.8,0,63,0.873040738817563
3.8,0,64,0.70609023560041
3.8,0,65,0.53853980908862
3.8,0,66,0.370496949867522
3.8,0,67,0.202071642300582
3.8,0,68,0.0333763069183169
3.8,0,69,-0.135474280504964
3.8,0,70,-0.304363095772853
3.8,0,71,-0.473171001568725
3.8,0,72,-0.641776913761484
3.8,0,73,-0.810058001118346
3.8,0,74,-0.97788992063566
3.8,0,75,-1.14514709042688
3.8,0,76,-1.31170300174693
3.8,0,77,-1.47743057127852
3.8,0,78,-1.64220253425376
3.8,0,79,-1.80589187833171
3.8,0,80,-1.96837231740102
3.8,0,81,-2.12951880363032
3.8,0,82,-2.28920807515828
3.8,0,83,-2.44731923581208
3.8,0,84,-2.60373436218823
3.8,0,85,-2.75833913234432
3.8,0,86,-2.91102346926504
3.8,0,87,-3.06168219121114
3.8,0,88,-3.21021566007236
3.8,0,89,-3.35653041796238
3.8,0,90,-3.50053980155334
3.8,0,91,-3.64216452308699
3.8,0,92,-3.78133320665255
3.8,0,93,-3.91798286821727
3.8,0,94,-4.05205932805585
3.8,0,95,-4.18351754466326
3.8,0,96,-4.31232185995511
3.8,0,97,-4.43844614655348
3.8,0,98,-4.56187384920547
3.8,0,99,-4.68259791385893
3.8,0,100,-4.80062059958561
3.8,0,101,-4.91595317035235
3.8,0,102,-5.02861546554419
3.8,0,103,-5.1386353500877
3.8,0,104,-5.2460480469546
3.8,0,105,-5.35089535669793
3.8,0,106,-5.45322477044167
3.8,0,107,-5.55308848437721
3.8,0,108,-5.6505423252927
3.8,0,109,-5.7456445979635
3.8,0,110,-5.83845486636338
3.8,0,111,-5.92903268163039
3.8,0,112,-6.01743627056014
3.8,0,113,-6.1037211991353
3.8,0,114,-6.18793902626991
3.8,0,115,-6.27013596359221
3.8,0,116,-6.3503515577496
3.8,0,117,-6.42861741243128
3.8,0,118,-6.504955968095
3.8,0,119,-6.57937935827123
3.8,0,120,-6.65188836230032
3.8,0,121,-6.72247147541567
3.8,0,122,-6.79110411817448
3.8,0,123,-6.85774800828719
3.8,0,124,-6.92235071880639
3.8,0,125,-6.9848454472775
3.8,0,126,-7.04515102066712
3.8,0,127,-7.10317216048771
3.8,0,128,-7.15880003132444
3.8,0,129,-7.21191309373139
3.8,0,130,-7.26237827899073
3.8,0,131,-7.31005249833895
3.8,0,132,-7.35478449282068
3.8,0,133,-7.39641702186989
3.8,0,134,-7.43478937907358
3.8,0,135,-7.46974021250302
3.8,0,136,-7.50111061480443
3.8,0,137,-7.52874743538138
3.8,0,138,-7.55250675408483
3.8,0,139,-7.5722574435962
3.8,0,140,-7.58788473698108
3.8,0,141,-7.59929370857937
3.8,0,142,-7.60641257131736
3.8,0,143,-7.60919569239149
3.8,0,144,-7.6076262325873
3.8,0,145,-7.60171832248248
3.8,0,146,-7.59151870132405
3.8,0,147,-7.57710776099271
3.8,0,148,-7.55859995735531
3.8,0,149,-7.53614357335548
3.8,0,150,-7.50991984110467
3.8,0,151,-7.48014145263192
3.8,0,152,-7.44705050949947
3.8,0,153,-7.410915979026
3.8,0,154,-7.37203073848089
3.8,0,155,-7.33070829775149
3.8,0,156,-7.28727929543224
3.8,0,157,-7.24208786317681
