"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.8,0,-108,-4.75088992184185
3.8,0,-107,-4.67291170425072
3.8,0,-106,-4.59234822036793
3.8,0,-105,-4.50915247989922
3.8,0,-104,-4.42328255237011
3.8,0,-103,-4.33470220182879
3.8,0,-102,-4.24338146644265
3.8,0,-101,-4.14929717580822
3.8,0,-100,-4.05243339979371
3.8,0,-99,-3.95278182386008
3.8,0,-98,-3.85034204703719
3.8,0,-97,-3.74512180003944
3.8,0,-96,-3.63713708235586
3.8,0,-95,-3.52641221851094
3.8,0,-94,-3.41297983502628
3.8,0,-93,-3.2968807608863
3.8,0,-92,-3.17816385548847
3.8,0,-91,-3.05688576911319
3.8,0,-90,-2.93311064185234
3.8,0,-89,-2.80690974767392
3.8,0,-88,-2.67836109085701
3.8,0,-87,-2.54754896240363
3.8,0,-86,-2.4145634642215
3.8,0,-85,-2.27950000888106
3.8,0,-84,-2.14245880259526
3.8,0,-83,-2.00354431876636
3.8,0,-82,-1.86286476901279
3.8,0,-81,-1.72053157805188
3.8,0,-80,-1.57665886819576
3.8,0,-79,-1.43136295854151
3.8,0,-78,-1.28476188322595
3.8,0,-77,-1.13697493239132
3.8,0,-76,-0.988122218791097
3.8,0,-75,-0.838324272269924
3.8,0,-74,-0.687701663694858
3.8,0,-73,-0.536374659304951
3.8,0,-72,-0.384462905892579
3.8,0,-71,-0.232085146737773
3.8,0,-70,-0.079358967788339
3.8,0,-69,0.0735994267845989
3.8,0,-68,0.226675410825727
3.8,0,-67,0.379756105638078
3.8,0,-66,0.532730524219086
3.8,0,-65,0.685489692009308
3.8,0,-64,0.837926745954699
3.8,0,-63,0.989937013723211
3.8,0,-62,1.14141807492061
3.8,0,-61,1.29226980612354
3.8,0,-60,1.44239441149613
3.8,0,-59,1.59169644068444
3.8,0,-58,1.74008279559501
3.8,0,-57,1.88746272756455
3.8,0,-56,2.03374782632079
3.8,0,-55,2.17885200202223
3.8,0,-54,2.32269146155131
3.8,0,-53,2.46518468012145
3.8,0,-52,2.60625236914785
3.8,0,-51,2.74581744122437
3.8,0,-50,2.88380497294623
3.8,0,-49,3.02014216622265
3.8,0,-48,3.15475830863264
3.8,0,-47,3.28758473329505
3.8,0,-46,3.41855477864794
3.8,0,-45,3.54760374846372
3.8,0,-44,3.67466887236543
3.8,0,-43,3.7996892670549
3.8,0,-42,3.92260589841612
3.8,0,-41,4.04336154461581
3.8,0,-40,4.16190076028797
3.8,0,-39,4.27816984185946
3.8,0,-38,4.39211679404932
3.8,0,-37,4.50369129755464
3.8,0,-36,4.61284467792031
3.8,0,-35,4.71952987557804
3.8,0,-34,4.82370141703176
3.8,0,-33,4.92531538716096
3.8,0,-32,5.02432940261022
3.8,0,-31,5.12070258623253
3.8,0,-30,5.21439554255429
3.8,0,-29,5.30537033423242
3.8,0,-28,5.39359045947653
3.8,0,-27,5.47902083041329
3.8,0,-26,5.56162775237445
3.8,0,-25,5.6413789040939
3.8,0,-24,5.71824331880436
3.8,0,-23,5.79219136622793
3.8,0,-22,5.86319473545925
3.8,0,-21,5.93122641874292
3.8,0,-20,5.99626069615036
3.8,0,-19,6.058273121163
3.8,0,-18,6.11724050717064
3.8,0,-17,6.17314091489459
3.8,0,-16,6.22595364074497
3.8,0,-15,6.27565920612152
3.8,0,-14,6.32223934766533
3.8,0,-13,6.36567700846725
3.8,0,-12,6.40595633023609
3.8,0,-11,6.44306264642648
3.8,0,-10,6.47698247632282
3.8,0,-9,6.50770352007167
3.8,0,-8,6.53521465465073
3.8,0,-7,6.5595059307581
3.8,0,-6,6.58056857060131
3.8,0,-5,6.59839496656035
3.8,0,-4,6.61297868069552
3.8,0,-3,6.62431444506584
3.8,0,-2,6.63239816282039
