"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.8,90.0000000000002,90,-13.5066041682834
3.8,90.0000000000002,91,-13.1451222730753
3.8,90.0000000000002,92,-12.8031757352603
3.8,90.0000000000002,93,-12.4810161884672
3.8,90.0000000000002,94,-12.1785010523531
3.8,90.0000000000002,95,-11.8952439071916
3.8,90.0000000000002,96,-11.6307171859634
3.8,90.0000000000002,97,-11.3843215296486
3.8,90.0000000000002,98,-11.1554320726169
3.8,90.0000000000002,99,-10.9434288768055
3.8,90.0000000000002,100,-10.7477165380108
3.8,90.0000000000002,101,-10.5677364395571
3.8,90.0000000000002,102,-10.4029740501531
3.8,90.0000000000002,103,-10.2529629164703
3.8,90.0000000000002,104,-10.1172864863315
3.8,90.0000000000002,105,-9.99557854401355
3.8,90.0000000000002,106,-9.8875227952558
3.8,90.0000000000002,107,-9.79285197174418
3.8,90.0000000000002,108,-9.71134670944371
3.8,90.0000000000002,109,-9.64283437596649
3.8,90.0000000000002,110,-9.58718796804502
3.8,90.0000000000002,111,-9.54432516348539
3.8,90.0000000000002,112,-9.5142075874363
3.8,90.0000000000002,113,-9.49684033679464
3.8,90.0000000000002,114,-9.49227179656187
3.8,90.0000000000002,115,-9.50059377621713
3.8,90.0000000000002,116,-9.52194199145051
3.8,90.0000000000002,117,-9.55649691601787
3.8,90.0000000000002,118,-9.60448502936752
3.8,90.0000000000002,119,-9.66618048749519
3.8,90.0000000000002,120,-9.74190724667846
3.8,90.0000000000002,121,-9.83204167172191
3.8,90.0000000000002,122,-9.93701566132489
3.8,90.0000000000002,123,-10.0573203220272
3.8,90.0000000000002,124,-10.1935102171855
3.8,90.0000000000002,125,-10.3462082059414
3.8,90.0000000000002,126,-10.5161108650451
3.8,90.0000000000002,127,-10.7039944472246
3.8,90.0000000000002,128,-10.9107212633749
3.8,90.0000000000002,129,-11.1372462660578
3.8,90.0000000000002,130,-11.3846234330835
3.8,90.0000000000002,131,-11.6540112614279
3.8,90.0000000000002,132,-11.9466762179488
3.8,90.0000000000002,133,-12.2639922488596
3.8,90.0000000000002,134,-12.6074332545221
3.8,90.0000000000002,135,-12.9785535150119
3.8,90.0000000000002,136,-13.3789479631537
3.8,90.0000000000002,137,-13.8101792427915
3.8,90.0000000000002,138,-14.273650572284
3.8,90.0000000000002,139,-14.7703909561631
3.8,90.0000000000002,140,-15.3007001578571
3.8,90.0000000000002,141,-15.8635731069134
3.8,90.0000000000002,142,-16.4557877928273
3.8,90.0000000000002,143,-17.070508228021
3.8,90.0000000000002,144,-17.6952649186976
3.8,90.0000000000002,145,-18.3093349960612
3.8,90.0000000000002,146,-18.8810593260926
3.8,90.0000000000002,147,-19.3667252971691
3.8,90.0000000000002,148,-19.7140231872094
3.8,90.0000000000002,149,-19.8729374933858
3.8,90.0000000000002,150,-19.8123922942615
3.8,90.0000000000002,151,-19.5334351600578
3.8,90.0000000000002,152,-19.0687661860091
3.8,90.0000000000002,153,-18.4690091039501
3.8,90.0000000000002,154,-17.7862174849485
3.8,90.0000000000002,155,-17.0634499131699
3.8,90.0000000000002,156,-16.3316837221989
3.8,90.0000000000002,157,-15.6110976376082
3.8,90.0000000000002,158,-14.9137825079993
3.8,90.0000000000002,159,-14.246332602146
3.8,90.0000000000002,160,-13.6118255846884
3.8,90.0000000000002,161,-13.0111859618327
3.8,90.0000000000002,162,-12.4440728851384
3.8,90.0000000000002,163,-11.9094393857346
3.8,90.0000000000002,164,-11.4058767534408
3.8,90.0000000000002,165,-10.9318224769261
3.8,90.0000000000002,166,-10.4856829627292
3.8,90.0000000000002,167,-10.0659035798816
3.8,90.0000000000002,168,-9.67100642620253
3.8,90.0000000000002,169,-9.2996085100088
3.8,90.0000000000002,170,-8.95042821926326
3.8,90.0000000000002,171,-8.62228494728771
3.8,90.0000000000002,172,-8.31409487633549
3.8,90.0000000000002,173,-8.02486475785279
3.8,90.0000000000002,174,-7.75368480406721
3.8,90.0000000000002,175,-7.49972135423065
3.8,90.0000000000002,176,-7.26220969794316
3.8,90.0000000000002,177,-7.04044726382901
3.8,90.0000000000002,178,-6.8337872747152
3.8,90.0000000000002,179,-6.64163290548874
3.8,90.0000000000002,180,-6.46343194132644
