"$Ha [mm]","$La [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,15,3.93,-8.09610995868784
2,15,3.94,-8.09889614627063
2,15,3.95,-8.10182174006822
2,15,3.96,-8.10503408773991
2,15,3.97,-8.10870250069305
2,15,3.98,-8.11299113189517
2,15,3.99,-8.11803327142127
2,15,4,-8.12391095311656
2,15,4.01,-8.13064258703311
2,15,4.02,-8.13817967435318
2,15,4.03,-8.14641200297999
2,15,4.04,-8.15517945168088
2,15,4.05,-8.16428784667563
2,15,4.06,-8.17352621638055
2,15,4.07,-8.18268313821421
2,15,4.08,-8.19156047152188
2,15,4.09,-8.19998344507983
2,15,4.1,-8.20780669517633
2,15,4.11,-8.21491637148995
2,15,4.12,-8.22122882558866
2,15,4.13,-8.22668666919009
2,15,4.14,-8.23125313401068
2,15,4.15,-8.23490567992712
2,15,4.16,-8.2376296927158
2,15,4.17,-8.23941291626514
2,15,4.18,-8.24024102285095
2,15,4.19,-8.24009448800422
2,15,4.2,-8.23894674173275
2,15,4.21,-8.23676343463847
2,15,4.22,-8.23350258701662
2,15,4.23,-8.22911537053889
2,15,4.24,-8.22354728989379
2,15,4.25,-8.21673957044068
2,15,4.26,-8.20863060534032
2,15,4.27,-8.19915736342728
2,15,4.28,-8.18825670237401
2,15,4.29,-8.17586656802579
2,15,4.3,-8.16192708921816
2,15,4.31,-8.14638159761515
2,15,4.32,-8.12917761378094
2,15,4.33,-8.11026784299819
2,15,4.34,-8.08961121588327
2,15,4.35,-8.06717398806372
2,15,4.36,-8.04293087943276
2,15,4.37,-8.01686618879219
2,15,4.38,-7.98897477071359
2,15,4.39,-7.95926272068571
2,15,4.4,-7.92774759911744
2,15,4.41,-7.89445805108035
2,15,4.42,-7.8594327545294
2,15,4.43,-7.82271874585567
2,15,4.44,-7.7843692993513
2,15,4.45,-7.74444163627239
2,15,4.46,-7.70299477435868
2,15,4.47,-7.66008778642879
2,15,4.48,-7.61577863233441
2,15,4.49,-7.57012359863797
2,15,4.5,-7.52317726527785
2,15,4.51,-7.47499284597805
2,15,4.52,-7.42562272699795
2,15,4.53,-7.37511904768509
2,15,4.54,-7.32353420853079
2,15,4.55,-7.27092124063951
2,15,4.56,-7.21733401263107
2,15,4.57,-7.16282728133322
2,15,4.58,-7.10745661054728
2,15,4.59,-7.05127818987811
2,15,4.6,-6.99434858627181
2,15,4.61,-6.93672445746642
2,15,4.62,-6.87846225129116
2,15,4.63,-6.8196179091241
2,15,4.64,-6.76024658666032
2,15,4.65,-6.70040240081488
2,15,4.66,-6.64013820816915
2,15,4.67,-6.57950541779222
2,15,4.68,-6.51855383939849
2,15,4.69,-6.45733156648658
2,15,4.7,-6.39588489320845
2,15,4.71,-6.33425826312465
2,15,4.72,-6.27249424762209
2,15,4.73,-6.21063355153572
2,15,4.74,-6.14871504337468
2,15,4.75,-6.08677580747064
2,15,4.76,-6.02485121531653
2,15,4.77,-5.96297501332982
2,15,4.78,-5.90117942424518
2,15,4.79,-5.83949525930963
2,15,4.8,-5.77795203841475
2,15,4.81,-5.71657811525401
2,15,4.82,-5.65540080453866
2,15,4.83,-5.59444650824441
2,15,4.84,-5.53374083779672
2,15,4.85,-5.47330872903911
2,15,4.86,-5.41317454677189
2,15,4.87,-5.35336217560584
2,15,4.88,-5.29389509385416
2,15,4.89,-5.23479642719753
2,15,4.9,-5.17608897891111
2,15,4.91,-5.1177952335519
2,15,4.92,-5.05993733118238
2,15,4.93,-5.00253700946494
2,15,4.94,-4.94561551131337
2,15,4.95,-4.8891934562441
2,15,4.96,-4.83329067413802
2,15,4.97,-4.77792600080997
2,15,4.98,-4.72311703558516
2,15,4.99,-4.66887986199418
2,15,5,-4.61522873370644
2,18,2.5,-2.06447075260663
2,18,2.51,-2.12861330468722
2,18,2.52,-2.19451489500065
2,18,2.53,-2.26228442554125
2,18,2.54,-2.33203145591109
2,18,2.55,-2.40386634662175
2,18,2.56,-2.47790034829163
2,18,2.57,-2.55424562281038
2,18,2.58,-2.63301518987359
2,18,2.59,-2.71432279732292
2,18,2.6,-2.79828271713338
2,18,2.61,-2.88500947119749
2,18,2.62,-2.97461749265782
2,18,2.63,-3.06722072970333
2,18,2.64,-3.16293219963286
2,18,2.65,-3.26186350166375
2,18,2.66,-3.36412429740084
2,18,2.67,-3.46982176797833
2,18,2.68,-3.57906005647581
2,18,2.69,-3.69193970307814
2,18,2.7,-3.80855707836853
2,18,2.71,-3.92900381691794
2,18,2.72,-4.05336624884636
2,18,2.73,-4.18172482131305
2,18,2.74,-4.3141534951787
2,18,2.75,-4.45071909485394
2,18,2.76,-4.59148058233945
2,18,2.77,-4.7364882206194
2,18,2.78,-4.88578258794239
2,18,2.79,-5.03939340411491
2,18,2.8,-5.19733813349897
2,18,2.81,-5.35962033727894
2,18,2.82,-5.52622775950394
2,18,2.83,-5.69713014657533
2,18,2.84,-5.87227681685146
2,18,2.85,-6.05159401414865
2,18,2.86,-6.23498209431005
2,18,2.87,-6.42231260606866
2,18,2.88,-6.61342533497093
2,18,2.89,-6.80812538158055
2,18,2.9,-7.00618034264968
2,18,2.91,-7.20731765716244
2,18,2.92,-7.41122216941618
2,18,2.93,-7.61753395033829
2,18,2.94,-7.8258464080951
2,18,2.95,-8.03570471201216
2,18,2.96,-8.24660455225869
2,18,2.97,-8.45799126395386
2,18,2.98,-8.66925936029603
2,18,2.99,-8.87975254626854
2,18,3,-9.08876432252053
2,18,3.01,-9.29553933648019
2,18,3.02,-9.49927569060968
2,18,3.03,-9.69912846914515
2,18,3.04,-9.89421478496248
2,18,3.05,-10.083620665164
2,18,3.06,-10.2664100741208
2,18,3.07,-10.4416363033986
2,18,3.08,-10.6083558304386
2,18,3.09,-10.765644560516
2,18,3.1,-10.9126161282811
2,18,3.11,-11.048441667214
2,18,3.12,-11.1723701901412
2,18,3.13,-11.2837485013049
2,18,3.14,-11.3820394199713
2,18,3.15,-11.4668370680406
2,18,3.16,-11.5378780750477
2,18,3.17,-11.5950477830704
2,18,3.18,-11.6383808841806
2,18,3.19,-11.6680563962072
2,18,3.2,-11.6843875031933
2,18,3.21,-11.6878075888327
2,18,3.22,-11.6788547445652
2,18,3.23,-11.6581578938748
2,18,3.24,-11.6264278174569
2,18,3.25,-11.5844548623907
2,18,3.26,-11.5331114149406
2,18,3.27,-11.4733523621106
2,18,3.28,-11.4062040142095
2,18,3.29,-11.3327348799007
2,18,3.3,-11.2540102624723
2,18,3.31,-11.1710417183025
2,18,3.32,-11.0847457189817
2,18,3.33,-10.9959217564524
2,18,3.34,-10.905252326706
2,18,3.35,-10.8133203957592
2,18,3.36,-10.7206361426922
2,18,3.37,-10.6276636744438
2,18,3.38,-10.5348394232724
2,18,3.39,-10.4425771972823
2,18,3.4,-10.3512603316305
2,18,3.41,-10.2612273769414
2,18,3.42,-10.1727606640002
2,18,3.43,-10.086083630227
2,18,3.44,-10.0013636215004
2,18,3.45,-9.91870977851165
2,18,3.46,-9.83817301210286
2,18,3.47,-9.75984520336732
2,18,3.48,-9.68411981136585
2,18,3.49,-9.6111517354
2,18,3.5,-9.53991763342419
2,18,3.51,-9.46930204302796
2,18,3.52,-9.39862591332956
2,18,3.53,-9.32742979311903
2,18,3.54,-9.25545770241142
2,18,3.55,-9.18269517225443
2,18,3.56,-9.10937463400506
2,18,3.57,-9.03638081198646
2,18,3.58,-8.96627837832967
2,18,3.59,-8.902558992672
2,18,3.6,-8.84671859206315
2,18,3.61,-8.79768947106653
2,18,3.62,-8.75355372616959
2,18,3.63,-8.71273447800305
2,18,3.64,-8.67423975247512
2,18,3.65,-8.6375389833754
2,18,3.66,-8.602398792379
2,18,3.67,-8.56876059790192
2,18,3.68,-8.53666134713821
2,18,3.69,-8.50618413498846
2,18,3.7,-8.47742743410836
2,18,3.71,-8.4504855681624
2,18,3.72,-8.4254359939951
2,18,3.73,-8.40233081051238
2,18,3.74,-8.38119103581077
2,18,3.75,-8.362002894618
2,18,3.76,-8.34471583163673
2,18,3.77,-8.32924232525256
2,18,3.78,-8.31545987563804
2,18,3.79,-8.30321579363613
2,18,3.8,-8.29233559129757
2,18,3.81,-8.28263578913352
2,18,3.82,-8.27394166350839
2,18,3.83,-8.26610965516526
2,18,3.84,-8.25905263467631
2,18,3.85,-8.25276390535636
2,18,3.86,-8.24733308311698
2,18,3.87,-8.24294497321909
2,18,3.88,-8.2398532961389
2,18,3.89,-8.2383267821947
2,18,3.9,-8.23857616485089
2,18,3.91,-8.24068334367167
2,18,3.92,-8.24456089152654
2,18,3.93,-8.24996420235707
2,18,3.94,-8.25656028617708
2,18,3.95,-8.26403549679969
2,18,3.96,-8.27220625537582
2,18,3.97,-8.28106063939656
2,18,3.98,-8.29052109687601
2,18,3.99,-8.29960310451074
2,18,4,-8.30620700024629
2,18,4.01,-8.31016546294669
2,18,4.02,-8.31379173478258
2,18,4.03,-8.31850705314642
2,18,4.04,-8.32446378650892
2,18,4.05,-8.33143834114935
2,18,4.06,-8.3391856262578
2,18,4.07,-8.34749572713759
2,18,4.08,-8.35618964864978
2,18,4.09,-8.36511234260462
2,18,4.1,-8.37412950881896
2,18,4.11,-8.3831267240894
2,18,4.12,-8.39201017596457
2,18,4.13,-8.40070977846868
2,18,4.14,-8.40918608992825
2,18,4.15,-8.41744044680126
2,18,4.16,-8.42551835387336
2,18,4.17,-8.43347510568884
2,18,4.18,-8.44126529142437
2,18,4.19,-8.44861062510813
2,18,4.2,-8.45504886564036
2,18,4.21,-8.4601940443073
2,18,4.22,-8.46389394697772
2,18,4.23,-8.46615470983784
2,18,4.24,-8.46701469117696
2,18,4.25,-8.46648537756659
2,18,4.26,-8.46454487550771
2,18,4.27,-8.46114842124959
2,18,4.28,-8.45623939615202
2,18,4.29,-8.44975705233116
2,18,4.3,-8.44164129354014
2,18,4.31,-8.43183550773955
2,18,4.32,-8.42028822612377
2,18,4.33,-8.40695409172721
2,18,4.34,-8.39179441687184
2,18,4.35,-8.37477748695937
2,18,4.36,-8.355878699451
2,18,4.37,-8.33508058892443
2,18,4.38,-8.31237276818107
2,18,4.39,-8.2877518037944
2,18,4.4,-8.26122103803165
2,18,4.41,-8.23279036545867
2,18,4.42,-8.2024759705037
2,18,4.43,-8.17030003112278
2,18,4.44,-8.13629039309053
2,18,4.45,-8.10048021911264
2,18,4.46,-8.06290761679126
2,18,4.47,-8.02361524939208
2,18,4.48,-7.98264993331476
2,18,4.49,-7.94006222612365
2,18,4.5,-7.89590600893824
2,18,4.51,-7.85023806689635
2,18,4.52,-7.80311767128584
2,18,4.53,-7.75460616678671
2,18,4.54,-7.70476656707723
2,18,4.55,-7.65366316183696
2,18,4.56,-7.6013611379302
2,18,4.57,-7.54792621728042
2,18,4.58,-7.49342431365619
2,18,4.59,-7.43792121028622
2,18,4.6,-7.38148225991342
2,18,4.61,-7.32417210858971
2,18,4.62,-7.26605444420986
2,18,4.63,-7.20719177048937
2,18,4.64,-7.14764520681149
2,18,4.65,-7.08747431410512
2,18,4.66,-7.02673694667032
2,18,4.67,-6.96548912964421
2,18,4.68,-6.90378496159592
2,18,4.69,-6.84167654155603
2,18,4.7,-6.77921391962294
2,18,4.71,-6.71644507014309
2,18,4.72,-6.65341588633349
2,18,4.73,-6.59017019510056
2,18,4.74,-6.52674979070541
2,18,4.75,-6.46319448583108
2,18,4.76,-6.39954217851655
2,18,4.77,-6.33582893333405
2,18,4.78,-6.27208907509558
2,18,4.79,-6.20835529327897
2,18,4.8,-6.14465875526041
2,18,4.81,-6.08102922632503
2,18,4.82,-6.01749519430015
2,18,4.83,-5.95408399651311
2,18,4.84,-5.89082194661964
2,18,4.85,-5.82773445867957
2,18,4.86,-5.76484616567765
