"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
0,20,3.53,-9.41006040449936
0,20,3.54,-9.35768195466001
0,20,3.55,-9.30906743347178
0,20,3.56,-9.26396120223038
0,20,3.57,-9.20304191232063
0,20,3.58,-9.15974174714203
0,20,3.59,-9.12635273386807
0,20,3.6,-9.08973172707676
0,20,3.61,-9.05412679041578
0,20,3.62,-9.02024841363324
0,20,3.63,-8.98830851014318
0,20,3.64,-8.95836537958192
0,20,3.65,-8.93040182765701
0,20,3.66,-8.90435482682467
0,20,3.67,-8.88013425695589
0,20,3.68,-8.85763912473049
0,20,3.69,-8.83677284811471
0,20,3.7,-8.81745707881044
0,20,3.71,-8.79964273556941
0,20,3.72,-8.78331668339782
0,20,3.73,-8.76850266262899
0,20,3.74,-8.75525560807994
0,20,3.75,-8.74364933692403
0,20,3.76,-8.73375860035626
0,20,3.77,-8.72563752329279
0,20,3.78,-8.71929733127125
0,20,3.79,-8.71468684900129
0,20,3.8,-8.71167945301883
0,20,3.81,-8.71006988887407
0,20,3.82,-8.70958352339165
0,20,3.83,-8.7098990842278
0,20,3.84,-8.71068369003279
0,20,3.85,-8.71163614335726
0,20,3.86,-8.71253154653842
0,20,3.87,-8.71325820142562
0,20,3.88,-8.71383754415157
0,20,3.89,-8.7144203275763
0,20,3.9,-8.71525731470555
0,20,3.91,-8.71664915021296
0,20,3.92,-8.71888574534926
0,20,3.93,-8.72218837277524
0,20,3.94,-8.72666665968718
0,20,3.95,-8.73229825040772
0,20,3.96,-8.73893279651497
0,20,3.97,-8.7463162368762
0,20,3.98,-8.75412765820882
0,20,3.99,-8.76201997914731
0,20,4,-8.76965691131629
0,20,4.01,-8.77674119139717
0,20,4.02,-8.78303193673237
0,20,4.03,-8.78835139579469
0,20,4.04,-8.792582966022
0,20,4.05,-8.7956630938626
0,20,4.06,-8.79756972543888
0,20,4.07,-8.79830959148017
0,20,4.08,-8.79790602408039
0,20,4.09,-8.79638839162132
0,20,4.1,-8.79378370719614
0,20,4.11,-8.79011056075529
0,20,4.12,-8.78537525100297
0,20,4.13,-8.77956983236465
0,20,4.14,-8.77267171883029
0,20,4.15,-8.7646444734959
0,20,4.16,-8.75543943739018
0,20,4.17,-8.74499789626185
0,20,4.18,-8.73325353718966
0,20,4.19,-8.72013500029559
0,20,4.2,-8.70556837991441
0,20,4.21,-8.68947957204103
0,20,4.22,-8.67179639999853
0,20,4.23,-8.65245047822389
0,20,4.24,-8.63137879554162
0,20,4.25,-8.60852501519828
0,20,4.26,-8.58384050023062
0,20,4.27,-8.55728508035761
0,20,4.28,-8.52882758134107
0,20,4.29,-8.49844614035431
0,20,4.3,-8.46612833190934
0,20,4.31,-8.4318711287855
0,20,4.32,-8.39568072153621
0,20,4.33,-8.357572218802
0,20,4.34,-8.31756924903062
0,20,4.35,-8.27570348244464
