"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
4,28,3.97,-11.1001427106693
4,28,3.98,-11.2229852628858
4,28,3.99,-11.3461277564675
4,28,4,-11.4690535697369
4,28,4.01,-11.5911845896348
4,28,4.02,-11.7118817160163
4,28,4.03,-11.8304475702648
4,28,4.04,-11.9461319178225
4,28,4.05,-12.0581402678105
4,28,4.06,-12.1656459983836
4,28,4.07,-12.2678061603504
4,28,4.08,-12.3637808280607
4,28,4.09,-12.452755503594
4,28,4.1,-12.5339656649896
4,28,4.11,-12.6067221305164
4,28,4.12,-12.6704355566594
4,28,4.13,-12.7246381748411
4,28,4.14,-12.7690008709719
4,28,4.15,-12.8033439655982
4,28,4.16,-12.8276405585845
4,28,4.17,-12.8420120054603
4,28,4.18,-12.8467158900408
4,28,4.19,-12.8421276205314
4,28,4.2,-12.8287173786866
4,28,4.21,-12.8070245021161
4,28,4.22,-12.777631440717
4,28,4.23,-12.7411392196169
4,28,4.24,-12.6981459297262
4,28,4.25,-12.6492292449484
4,28,4.26,-12.5949334258236
4,28,4.27,-12.5357607891986
4,28,4.28,-12.4721672512661
4,28,4.29,-12.4045613068208
4,28,4.3,-12.3333056865888
4,28,4.31,-12.2587209167556
4,28,4.32,-12.1810900625425
4,28,4.33,-12.1006640422531
4,28,4.34,-12.0176670247111
4,28,4.35,-11.9323015523058
4,28,4.36,-11.8447531510655
4,28,4.37,-11.7551942909338
4,28,4.38,-11.6637876407001
4,28,4.39,-11.5706886228462
4,28,4.4,-11.4760473157935
4,28,4.41,-11.3800097775102
4,28,4.42,-11.2827188783181
4,28,4.43,-11.1843147350837
4,28,4.44,-11.0849348364905
4,28,4.45,-10.9847139420684
4,28,4.46,-10.883783827899
4,28,4.47,-10.782272940824
4,28,4.48,-10.6803060115558
4,28,4.49,-10.5780036660256
4,28,4.5,-10.4754820640429
4,28,4.51,-10.3728525851363
4,28,4.52,-10.2702215734108
4,28,4.53,-10.167690146396
4,28,4.54,-10.0653540671356
4,28,4.55,-9.9633036740833
4,28,4.56,-9.86162385963386
4,28,4.57,-9.76039408523917
4,28,4.58,-9.65968841896663
4,28,4.59,-9.55957558001757
4,28,4.6,-9.46011897415217
4,28,4.61,-9.3613767042353
4,28,4.62,-9.26340154136717
4,28,4.63,-9.16624084451113
4,28,4.64,-9.06993642046933
4,28,4.65,-8.9745243218338
4,28,4.66,-8.88003458852393
4,28,4.67,-8.78649094901768
4,28,4.68,-8.69391051050934
4,28,4.69,-8.60230348271758
4,28,4.7,-8.51167299702116
4,28,4.71,-8.42201509919471
4,28,4.72,-8.33331900726086
4,28,4.73,-8.2455677316308
4,28,4.74,-8.15873914756483
4,28,4.75,-8.07280758471469
4,28,4.76,-7.98774595117612
4,28,4.77,-7.90352833966986
4,28,4.78,-7.82013297652265
4,28,4.79,-7.73754528253841
4,28,4.8,-7.65576073772546
4,28,4.81,-7.57478720139172
4,28,4.82,-7.49464635443326
4,28,4.83,-7.41537401031258
4,28,4.84,-7.3370191777875
4,28,4.85,-7.25964192769928
4,28,4.86,-7.18331028270879
4,28,4.87,-7.10809647667547
4,28,4.88,-7.03407299368628
