"$Ha [mm]","$La [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,15,3.7,-7.7614046540117
2,15,3.71,-7.82831711543481
2,15,3.72,-7.89535417881566
2,15,3.73,-7.96209746817529
2,15,3.74,-8.02808054136792
2,15,3.75,-8.09279153656289
2,15,3.76,-8.15567889219449
2,15,3.77,-8.21616069423002
2,15,3.78,-8.27363801630147
2,15,3.79,-8.32751230230642
2,15,3.8,-8.37720639986068
2,15,3.81,-8.42218831838218
2,15,3.82,-8.46199622469029
2,15,3.83,-8.49626270089571
2,15,3.84,-8.52473598966863
2,15,3.85,-8.54729594554803
2,15,3.86,-8.56396275856301
2,15,3.87,-8.574897206634
2,15,3.88,-8.58039213188487
2,15,3.89,-8.58085586144765
2,15,3.9,-8.57678921532042
2,15,3.91,-8.56875839404821
2,15,3.92,-8.55736631521238
2,15,3.93,-8.54322485594851
2,15,3.94,-8.52693002738588
2,15,3.95,-8.50904147831575
2,15,3.96,-8.49006703739685
2,15,3.97,-8.47045237488402
2,15,3.98,-8.45057537545736
2,15,3.99,-8.43074449709202
2,15,4,-8.411200242299
2,15,4.01,-8.39211885737744
2,15,4.02,-8.37361746115576
2,15,4.03,-8.35575994564325
2,15,4.04,-8.33856315255286
2,15,4.05,-8.3220029870622
2,15,4.06,-8.30602026840128
2,15,4.07,-8.29052622872932
2,15,4.08,-8.27540765561228
2,15,4.09,-8.26053173072192
2,15,4.1,-8.24575065092537
2,15,4.11,-8.23090613050097
2,15,4.12,-8.21583387690028
2,15,4.13,-8.20036810857587
2,15,4.14,-8.1843461428451
2,15,4.15,-8.16761302604836
2,15,4.16,-8.15002611070345
2,15,4.17,-8.13145941141579
2,15,4.18,-8.11180750345402
2,15,4.19,-8.09098867937245
2,15,4.2,-8.06894706584792
2,15,4.21,-8.04565343884852
2,15,4.22,-8.02110456689777
2,15,4.23,-7.99532105396877
2,15,4.24,-7.96834382564831
2,15,4.25,-7.94022957308467
2,15,4.26,-7.9110456029005
2,15,4.27,-7.88086460760582
2,15,4.28,-7.84975985528728
2,15,4.29,-7.81780120468391
2,15,4.3,-7.78505220535975
2,15,4.31,-7.75156837590509
2,15,4.32,-7.71739659928072
2,15,4.33,-7.68257545829384
2,15,4.34,-7.64713626747328
2,15,4.35,-7.61110453933297
2,15,4.36,-7.57450164320017
2,15,4.37,-7.53734645934074
2,15,4.38,-7.49965688612539
2,15,4.39,-7.46145111243635
2,15,4.4,-7.42274861436396
2,15,4.41,-7.383570871169
2,15,4.42,-7.34394182001841
2,15,4.43,-7.30388808343621
2,15,4.44,-7.26343900987639
2,15,4.45,-7.22262656861233
2,15,4.46,-7.18148513730106
2,15,4.47,-7.14005121575981
2,15,4.48,-7.09836309387803
2,15,4.49,-7.05646049596752
2,15,4.5,-7.01438421869613
2,15,4.51,-6.97217577529135
2,15,4.52,-6.92987705501249
2,15,4.53,-6.88753000395341
2,15,4.54,-6.84517633097355
2,15,4.55,-6.80285724085969
2,15,4.56,-6.76061319558791
2,15,4.57,-6.71848370367984
2,15,4.58,-6.67650713703894
2,15,4.59,-6.63472057423292
2,15,4.6,-6.59315966889405
2,15,4.61,-6.55185854169179
2,15,4.62,-6.51084969415444
2,15,4.63,-6.47016394245431
2,15,4.64,-6.42983036911129
2,15,4.65,-6.38987629040554
2,15,4.66,-6.35032723712628
2,15,4.67,-6.31120694612965
2,15,4.68,-6.27253736004822
2,15,4.69,-6.23433863240903
2,15,4.7,-6.19662913539728
2,15,4.71,-6.15942546757258
2,15,4.72,-6.12274245902998
2,15,4.73,-6.08659317182131
2,15,4.74,-6.05098889393753
2,15,4.75,-6.01593912581953
2,15,4.76,-5.98145155923253
2,15,4.77,-5.94753204942052
2,15,4.78,-5.91418458276553
2,15,4.79,-5.88141124371705
2,15,4.8,-5.84921218653136
2,15,4.81,-5.81758561936217
2,15,4.82,-5.78652781045435
2,15,4.83,-5.756033128576
2,15,4.84,-5.72609413231724
2,15,4.85,-5.69670172537863
2,15,4.86,-5.66784539728705
2,15,4.87,-5.63951357080585
2,15,4.88,-5.61169407812373
2,15,4.89,-5.58437478679362
2,15,4.9,-5.55754439169005
2,15,4.91,-5.5311933779133
2,15,4.92,-5.5053151358594
2,15,4.93,-5.47990716269462
2,15,4.94,-5.45497219331213
2,15,4.95,-5.43051892846921
2,15,4.96,-5.40656169249172
2,15,4.97,-5.38311771913184
2,15,4.98,-5.36019959646866
2,15,4.99,-5.33779836800731
2,15,5,-5.31584967400848
2,18,2.5,-1.87510209054234
2,18,2.51,-1.95747784899171
2,18,2.52,-2.04105818782797
2,18,2.53,-2.12579676122272
2,18,2.54,-2.21165444520842
2,18,2.55,-2.29860226286054
2,18,2.56,-2.38662429411303
2,18,2.57,-2.47572045244785
2,18,2.58,-2.56590900083923
2,18,2.59,-2.65722867553463
2,18,2.6,-2.74974028963882
2,18,2.61,-2.84352769966717
2,18,2.62,-2.93869803725385
2,18,2.63,-3.03538113435284
2,18,2.64,-3.13372810217983
2,18,2.65,-3.23390905983088
2,18,2.66,-3.33611004554753
2,18,2.67,-3.44052917929308
2,18,2.68,-3.54737217694426
2,18,2.69,-3.65684734146348
2,18,2.7,-3.76916017276839
2,18,2.71,-3.88450774409146
2,18,2.72,-4.00307298756077
2,18,2.73,-4.12501901548236
2,18,2.74,-4.25048357720042
2,18,2.75,-4.37957371622457
2,18,2.76,-4.51236065125685
2,18,2.77,-4.64887486144142
2,18,2.78,-4.78910131501797
2,18,2.79,-4.93297474664263
2,18,2.8,-5.08037486740501
2,18,2.81,-5.23112138856422
2,18,2.82,-5.384968760517
2,18,2.83,-5.54160057703756
2,18,2.84,-5.70062367467394
2,18,2.85,-5.86156206971568
2,18,2.86,-6.02385101898184
2,18,2.87,-6.18683166062747
2,18,2.88,-6.34974687694679
2,18,2.89,-6.51173920598149
2,18,2.9,-6.67185178812268
2,18,2.91,-6.82903343516663
2,18,2.92,-6.98214891285715
2,18,2.93,-7.1299953912917
2,18,2.94,-7.27132570291389
2,18,2.95,-7.40487853379023
2,18,2.96,-7.52941496971461
