"$Ha [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
4,4.39,-10.805863447022
4,4.4,-10.7405706696677
4,4.41,-10.6900591987333
4,4.42,-10.653603003293
4,4.43,-10.6305007519874
4,4.44,-10.6200752408087
4,4.45,-10.6216715809212
4,4.46,-10.6346544818823
4,4.47,-10.6584048871745
4,4.48,-10.6923161623652
4,4.49,-10.7357899964154
4,4.5,-10.7882321499819
4,4.51,-10.8490481683436
4,4.52,-10.9176391688243
4,4.53,-10.9933978118082
4,4.54,-11.0757045693954
4,4.55,-11.1639244153706
4,4.56,-11.2574040733531
4,4.57,-11.3554699755585
4,4.58,-11.4574271010332
4,4.59,-11.5625588776465
4,4.6,-11.6701283440764
4,4.61,-11.7793807733572
4,4.62,-11.8895479542457
4,4.63,-11.9998543057078
4,4.64,-12.109524957171
4,4.65,-12.2177958558019
4,4.66,-12.3239258542585
4,4.67,-12.4272105804921
4,4.68,-12.5269976889885
4,4.69,-12.6227028375713
4,4.7,-12.7138254292151
4,4.71,-12.799962817743
4,4.72,-12.8808213262934
4,4.73,-12.9562221085404
4,4.74,-13.0260996463416
4,4.75,-13.0904905770422
4,4.76,-13.149510618538
4,4.77,-13.203317617347
4,4.78,-13.2520591454699
4,4.79,-13.2958035362064
4,4.8,-13.3344536958528
4,4.81,-13.3676434588211
4,4.82,-13.3946168897202
4,4.83,-13.4140924064957
4,4.84,-13.4241171617599
4,4.85,-13.4219248542969
4,4.86,-13.4038249115437
4,4.87,-13.3651756244366
4,4.88,-13.300528464684
4,4.89,-13.2040669163475
4,4.9,-13.0704745199723
4,4.91,-12.8963058439841
4,4.92,-12.6817533971996
4,4.93,-12.4324093523691
4,4.94,-12.1602868473485
4,4.95,-11.8831047052968
4,4.96,-11.6211359197592
4,4.97,-11.3925484182609
4,4.98,-11.2097909484511
4,4.99,-11.0785630053296
4,5,-10.9987196287806
6,2.5,-0.131479586715611
6,2.51,-0.14668406978631
6,2.52,-0.162868490574951
6,2.53,-0.180063180036112
6,2.54,-0.198296796174204
6,2.55,-0.217598124032349
6,2.56,-0.237997928832655
6,2.57,-0.259530710944946
6,2.58,-0.282236235410191
6,2.59,-0.306160744065701
6,2.6,-0.331357798423656
6,2.61,-0.357888740366162
6,2.62,-0.3858227909166
6,2.63,-0.415236832164797
6,2.64,-0.446214932982663
6,2.65,-0.478847685988112
6,2.66,-0.513231422711561
6,2.67,-0.549467367914816
6,2.68,-0.587660784366913
6,2.69,-0.627920147755651
6,2.7,-0.670356379152199
6,2.71,-0.715082150553895
6,2.72,-0.762211268198552
6,2.73,-0.811858129000816
6,2.74,-0.864137237827419
6,2.75,-0.919162767462289
6,2.76,-0.9770481389504
6,2.77,-1.03790559739234
6,2.78,-1.10184575696165
6,2.79,-1.16897708865503
6,2.8,-1.23940532475365
6,2.81,-1.31323275485621
6,2.82,-1.39055738934672
6,2.83,-1.47147196704537
6,2.84,-1.55606278443913
6,2.85,-1.64440832438625
6,2.86,-1.73657766296847
6,2.87,-1.83262863521044
6,2.88,-1.93260574548671
6,2.89,-2.03653781941845
6,2.9,-2.14443541477646
6,2.91,-2.25628804356707
6,2.92,-2.3720613086919
6,2.93,-2.49169412353042
6,2.94,-2.61509624791253
6,2.95,-2.74214641063196
6,2.96,-2.87269125609291
6,2.97,-3.00654521493502
6,2.98,-3.14349115642811
6,2.99,-3.28328140203908
6,3,-3.42563849506573
6,3.01,-3.57025515999995
6,3.02,-3.71679318142274
6,3.03,-3.8648813757174
6,3.04,-4.01411322068808
6,3.05,-4.16404488583201
6,3.06,-4.31419433656624
6,3.07,-4.46404195780979
6,3.08,-4.61303288489438
6,3.09,-4.76058103406303
6,3.1,-4.9060747172421
6,3.11,-5.04888368535091
6,3.12,-5.1883674340147
6,3.13,-5.32388459454548
6,3.14,-5.45480320593741
6,3.15,-5.58051161895601
6,3.16,-5.70042972896746
6,3.17,-5.81402018183437
6,3.18,-5.92079915897069
6,3.19,-6.02034633291808
6,3.2,-6.112313599012
6,3.21,-6.19643223285542
6,3.22,-6.27251819425986
6,3.23,-6.34047538941347
6,3.24,-6.40029680494398
6,3.25,-6.45206352887515
6,3.26,-6.49594176133028
6,3.27,-6.53217797835805
6,3.28,-6.56109243165483
6,3.29,-6.58307113394163
6,3.3,-6.59855639074094
6,3.31,-6.60803580806156
6,3.32,-6.61202957750479
6,3.33,-6.61107580712345
